,names,parents,values,color
399,xxx399,"건축기술, 엔지니어링 및 관련 기술 서비스업",64,
400,xxx400,기타 화학제품 제조업,63,5.189423278
401,xxx401,의약품 제조업,63,
402,xxx402,반도체 제조업,63,-5.064702515
403,xxx403,전자부품 제조업,62,-3.199331229
404,xxx404,기타 금융업,62,
405,xxx405,자동차 신품 부품 제조업,62,
406,xxx406,특수 목적용 기계 제조업,62,2.934771574
407,xxx407,보험업,62,0.9480394302
408,xxx408,"비료, 농약 및 살균, 살충제 제조업",61,
409,xxx409,1차 철강 제조업,61,-5.550542127
410,xxx410,전자부품 제조업,61,4.255496438
411,xxx411,기타 전문 도매업,61,-4.114182904
412,xxx412,연료용 가스 제조 및 배관공급업,61,-4.300958812
413,xxx413,그외 기타 제품 제조업,61,-1.672951318
414,xxx414,특수 목적용 기계 제조업,61,-4.542872466
415,xxx415,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",60,2.233592222
416,xxx416,통신 및 방송 장비 제조업,60,4.268697949
417,xxx417,기타 금융업,60,inf
418,xxx418,기타 종이 및 판지 제품 제조업,60,
419,xxx419,의료용 기기 제조업,60,
420,xxx420,기타 전문 도매업,60,4.941642423
421,xxx421,"곡물가공품, 전분 및 전분제품 제조업",60,
422,xxx422,1차 철강 제조업,60,
423,xxx423,자동차 신품 부품 제조업,60,2.679879324
424,xxx424,회사 본부 및 경영 컨설팅 서비스업,59,
425,xxx425,플라스틱제품 제조업,59,-4.738171777
426,xxx426,자동차 신품 부품 제조업,59,-4.062606584
427,xxx427,텔레비전 방송업,59,-4.034190639
428,xxx428,기타 금융업,59,-3.41336412
429,xxx429,운동 및 경기용구 제조업,59,
430,xxx430,유원지 및 기타 오락관련 서비스업,59,-4.024140304
431,xxx431,의약품 제조업,59,
432,xxx432,의료용 기기 제조업,58,-2.165861128
433,xxx433,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",58,0.9501922835
434,xxx434,자연과학 및 공학 연구개발업,58,
435,xxx435,반도체 제조업,58,4.697340646
436,xxx436,부동산 임대 및 공급업,58,-4.749419795
437,xxx437,의료용 기기 제조업,58,-3.211058923
438,xxx438,일반 목적용 기계 제조업,57,-3.618475814
439,xxx439,의약품 제조업,57,
440,xxx440,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",57,-4.184719207
441,xxx441,가전제품 및 정보통신장비 소매업,57,2.940689918
442,xxx442,기초 화학물질 제조업,57,4.852578359
443,xxx443,통신 및 방송 장비 제조업,57,5.347942604
444,xxx444,"내화, 비내화 요업제품 제조업",56,
445,xxx445,전기 통신업,56,
446,xxx446,비알코올음료 및 얼음 제조업,56,-4.268697949
447,xxx447,통신 및 방송 장비 제조업,56,
448,xxx448,일반 목적용 기계 제조업,56,4.738701579
449,xxx449,의료용품 및 기타 의약 관련제품 제조업,55,
450,xxx450,제재 및 목재 가공업,55,
